ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
1.1.1.1.6 - Parc.  FGTS até 31/03/96;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;58.415.928,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.7 - Parc.  FGTS após 31/03/96;2008;0,00;62.184.500,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.8 - Parc.  INSS até 01/12/92;2008;0,00;0,00;0,00;69.265.955,51;0,00;12.248.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.9 - Parc.  INSS após 01/12/92;2008;54.757.833,44;389.834.994,30;7.392.398,56;0,00;127.049.558,02;136.562.000,00;0,00;471.833.970,02;1.278.122.190,00;84.842.732,65;0,00;26.437.894,80;152.597.946,30;532.816.812,67;70.504.578,86;0,00;199.399.183,41;314.003.266,46;103.921.843,65;74.341.473,38;180.329.868,50;312.951.163,21;113.137.619,00;0,00;27.035.042,00;0,00;75.544.471,00;;;;;;;;;;;;;;
1.1.1.1.10 - Lei 8.727/93;2008;175.646.366,61;718.406.477,51;958.945.643,03;0,00;2.037.235.247,53;237.120.785,46;0,00;790.966.554,49;7.514.162.093,70;3.387.999.038,94;873.439.403,54;1.433.009.496,38;2.026.213.587,47;289.244.861,58;821.154.835,29;485.065.819,99;680.988.318,30;264.024.852,07;868.980.543,68;520.008.163,40;30.011.756,49;0,00;1.511.531.664,60;495.725.473,48;460.454.062,14;1.902.852.253,18;55.848.887,60;;;;;;;;;;;;;;
1.1.1.1.10.1 - Lei 8.727/93 GOVERNO IGPM;2008;12.781.672,20;49.870.313,23;58.963.107,19;0,00;198.130.976,74;42.156.623,28;0,00;0,00;1.768.920.203,02;806.584.707,27;274.765.417,75;44.286.853,02;85.534.035,25;60.092.380,72;91.288.213,22;99.293.716,23;137.754.414,46;55.178.195,41;11.498.554,31;138.757.255,79;1.256.826,92;0,00;322.024.481,88;0,00;223.587,89;45.944.908,93;0,00;;;;;;;;;;;;;;
1.1.1.1.10.2 - Lei 8.727/93 GOVERNO TJLP;2008;833.421,60;1.518.369,62;13.051.835,60;0,00;18.119.765,39;1.459.410,84;0,00;0,00;937.538.538,84;0,00;7.115.996,97;212.811.418,41;572.157.672,90;1.478.655,72;6.830.162,89;4.174.395,37;11.504.881,60;4.988.403,97;55.048.744,15;5.146.692,74;1.449.897,65;0,00;26.258.503,27;0,00;3.822.791,23;443.387.797,76;0,00;;;;;;;;;;;;;;
1.1.1.1.10.3 - Lei 8.727/93 GOVERNO TR;2008;162.031.272,81;253.781.675,67;479.013.936,11;0,00;1.295.907.675,21;193.504.751,34;0,00;0,00;4.807.703.351,84;2.157.089.133,16;591.557.988,82;813.643.544,74;1.053.237.593,89;217.960.124,84;319.636.782,30;381.597.708,39;330.812.743,87;152.373.816,34;399.690.582,89;163.340.230,31;27.305.031,92;0,00;1.160.394.716,39;0,00;176.517.759,93;1.088.101.944,49;0,00;;;;;;;;;;;;;;
1.1.1.1.10.4 - Lei 8.727/93 Outros;2008;0,00;413.236.118,99;407.916.764,13;0,00;525.076.830,19;0,00;0,00;790.966.554,49;0,00;424.325.198,51;0,00;362.267.680,21;315.284.285,43;9.713.700,30;403.399.676,88;0,00;200.916.278,37;51.484.436,35;402.742.662,33;212.763.984,56;0,00;0,00;2.853.963,06;495.725.473,48;279.889.923,09;325.417.602,00;55.848.887,60;;;;;;;;;;;;;;
1.1.1.1.11 - Lei 9.496/97;2008;301.050.609,52;5.379.960.339,80;497.018.799,82;65.935.423,01;4.772.719.263,80;1.011.121.426,68;1.088.923.776,29;1.093.321.176,46;3.679.463.700,84;1.433.305.612,93;48.888.019.404,74;4.678.823.501,83;2.579.017.464,51;841.266.023,49;674.457.298,72;2.804.380.095,30;932.002.838,44;9.035.946.014,62;37.115.212.912,13;288.963.883,86;1.538.413.054,09;96.855.558,43;33.903.392.224,29;9.900.827.910,64;788.617.073,06;146.867.254.098,78;0,00;;;;;;;;;;;;;;
1.1.1.1.11.1 - Principal;2008;32.018.805,56;2.894.654.031,42;14.363.215,58;65.935.423,01;1.429.656.485,47;49.912.451,83;1.088.923.776,29;512.571.332,48;3.248.026.059,82;528.963.527,84;34.104.134.303,32;4.678.823.501,83;2.025.246.978,18;553.293.882,65;512.312.592,58;2.640.423.649,15;599.037.232,56;841.512.541,64;37.115.212.912,13;62.394.417,43;262.604.526,90;11.627.147,35;25.697.220.667,09;4.614.634.895,92;697.313.853,71;146.867.254.098,78;0,00;;;;;;;;;;;;;;
1.1.1.1.11.4 - PROES Extralimite;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;580.749.843,98;0,00;0,00;101.913.168,26;0,00;0,00;287.972.140,84;0,00;0,00;0,00;0,00;0,00;226.569.466,43;0,00;0,00;1.570.897.061,00;0,00;91.303.219,35;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.5 - PROES Intralimite;2008;269.031.803,96;1.298.343.825,47;482.655.584,24;0,00;3.343.062.778,33;961.208.974,85;0,00;0,00;431.437.641,02;904.342.085,09;14.681.971.933,16;0,00;553.770.486,33;0,00;162.144.706,14;0,00;332.965.605,88;8.194.433.472,98;0,00;0,00;1.275.808.527,19;85.228.411,08;6.635.274.496,20;5.286.193.014,72;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.6 - Precatórios;2008;0,00;1.186.962.482,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;163.956.446,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.7  - Conta Gráfica Estoque;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;51.326.674,51;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);2008;59.209.068,29;0,00;81.874.912,38;29.039.151,25;656.518.113,35;81.765.000,00;206.654.363,14;49.260.735,52;0,00;20.862.058,59;50.299.799,13;33.046.589,07;3.980.469,40;154.210.603,35;157.524.344,33;108.281.963,81;43.320.882,97;91.495.417,70;37.595.191,97;170.458.776,80;11.895.269,59;8.154.487,37;38.881.607,00;27.840.859,87;97.102.816,57;105.077.836,51;43.100.405,00;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;2008;0,00;33.484.395,02;494.095,16;0,00;222.656.868,25;33.458.000,00;0,00;0,00;17.849.825,00;0,00;0,00;0,00;16.202.251,15;24.472.873,04;87.431.813,78;0,00;0,00;959.565.924,28;326.380.328,75;10.467.641,77;12.850.374,61;445.570,98;0,00;69.951.576,42;21.444.604,00;0,00;6.392.068,00;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;2008;0,00;0,00;6.506.755,67;0,00;216.693.686,24;7.616.000,00;821.017,58;2.639.623,26;0,00;0,00;97.410.480,00;3.095.453,39;1.645.495,20;3.004.350,72;0,00;0,00;8.059.707,24;0,00;0,00;0,00;2.701.833,24;0,00;0,00;0,00;7.180.655,00;40.419.855,32;0,00;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;2008;224.439.164,15;61.000.000,00;69.109.516,72;0,00;35.577.637,72;216.941.000,00;109.655.498,11;281.151.923,38;0,00;0,00;50.050.148,14;1.251.551,33;0,00;253.392.226,49;0,00;86.503.471,63;93.496.685,62;26.466.557,93;981.604.805,02;87.272.282,10;8.269.284,69;0,00;767.875,00;884.189.738,68;129.016,00;636.505.096,35;0,00;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;2008;0,00;6.067.098,56;0,00;0,00;251.515.812,21;196.973.000,00;0,00;0,00;0,00;41.900.798,69;22.070.918,12;0,00;0,00;12.770.558,16;32.889.382,47;86.948.798,16;21.166.109,93;0,00;0,00;56.758.974,85;0,00;0,00;0,00;0,00;49.775.248,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;2008;685.444,10;20.282.403,06;0,00;0,00;18.467.110,31;49.897.000,00;15.471.848,60;0,00;24.204.287,00;11.393.054,60;0,00;0,00;29.733.249,04;36.477.296,87;30.302.464,76;20.166.156,36;278.831,70;17.559.306,96;92.833.155,48;7.026.916,81;0,00;44.146.059,69;0,00;0,00;15.513.982,00;0,00;16.002.746,00;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;2008;0,00;132.856.804,20;0,00;0,00;0,00;0,00;0,00;271.416.531,14;0,00;152.606.888,48;4.195.657.232,64;0,00;0,00;2.517.437,56;0,00;0,00;0,00;2.544.254.935,99;0,00;0,00;50.487.991,18;0,00;0,00;0,00;47.903.140,00;0,00;18.888.127,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.895.194,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.224.352.023,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;2008;0,00;132.856.804,20;0,00;0,00;0,00;0,00;0,00;271.416.531,14;0,00;152.606.888,48;4.190.762.038,11;0,00;0,00;2.517.437,56;0,00;0,00;0,00;1.319.902.912,46;0,00;0,00;50.487.991,18;0,00;0,00;0,00;47.903.140,00;0,00;18.888.127,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;2008;0,00;102.065.681,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;2008;0,00;102.065.681,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;2008;81.107.844,13;0,00;323.551.173,09;73.128.970,51;1.921.763.447,76;1.463.149.000,00;391.538.538,26;273.285.535,27;129.207.778,00;135.637.688,71;1.246.211.588,48;84.400.853,51;47.015.440,04;362.059.162,27;75.728.371,83;496.791.235,12;74.922.456,66;1.293.736.115,49;1.977.481.449,43;72.329.219,59;40.897.500,00;8.680.285,45;2.342.607.985,00;525.606.073,92;67.477.018,48;2.738.323.913,51;518.005.908,00;;;;;;;;;;;;;;
1.2.1 - Contratual;2008;81.107.844,13;0,00;323.551.173,09;73.128.970,51;1.921.763.447,76;1.463.149.000,00;391.538.538,26;273.285.535,27;129.207.778,00;135.637.688,71;1.246.211.588,48;84.400.853,51;47.015.440,04;362.059.162,27;75.728.371,83;496.791.235,12;74.922.456,66;1.293.736.115,49;1.973.929.029,18;72.329.219,59;40.897.500,00;8.680.285,45;2.342.607.985,00;525.606.073,92;67.477.018,48;2.738.323.913,51;518.005.908,00;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;2008;0,00;0,00;0,00;0,00;0,00;12.886.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;2008;0,00;0,00;145.045,06;0,00;0,00;42.176.000,00;85.910.828,21;2.423.856,59;8.613.727,00;0,00;193.523.044,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.910.058,19;0,00;40.809.302,71;0,00;;;;;;;;;;;;;;
1.2.1.3 - Com aval do TN após 30/09/91;2008;81.107.844,13;0,00;323.406.128,03;73.128.970,51;1.921.763.447,76;1.408.087.000,00;305.627.710,05;270.861.678,68;120.594.051,00;135.637.688,71;1.052.688.543,99;84.400.853,51;47.015.440,04;362.059.162,27;75.728.371,83;496.791.235,12;74.922.456,66;1.293.736.115,49;1.973.929.029,18;72.329.219,59;40.897.500,00;8.680.285,45;2.342.607.985,00;518.696.015,73;67.477.018,48;2.697.514.610,80;518.005.908,00;;;;;;;;;;;;;;
1.2.2 - Mobiliária Externa;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.552.420,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.2.1 - Principal;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.552.420,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2 - Flutuante;2008;0,00;0,00;0,00;0,00;0,00;706.924.000,00;37.106.452,00;0,00;0,00;0,00;0,00;0,00;245.001,97;0,00;0,00;0,00;409.433.257,77;0,00;1.688.851.000,00;49.482.285,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.1 - Empreiteiros;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.2 - Fornecedores;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;115.501.738,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.3 - Autofinanciamentos;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.4 - Folha de Pagamentos;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.5 - AROs;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.6 - INSS;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.7 - FGTS;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.8 - PIS/PASEP e Inst. de Pensão;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.9 - Precatórios;2008;0,00;0,00;0,00;0,00;0,00;203.490.000,00;0,00;0,00;0,00;0,00;0,00;0,00;245.001,97;0,00;0,00;0,00;293.931.519,76;0,00;1.688.851.000,00;49.482.285,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.10 - Outras;2008;0,00;0,00;0,00;0,00;0,00;503.434.000,00;37.106.452,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. DIRETA;2008;897.996.651,16;6.943.804.519,64;2.215.772.480,34;237.369.500,28;10.686.292.532,52;4.326.383.755,42;1.850.171.493,98;3.290.442.774,84;13.267.883.217,19;5.659.049.338,63;55.992.613.595,16;6.599.581.530,11;5.274.697.664,43;2.674.074.517,08;2.189.290.660,77;4.225.311.352,18;2.645.768.247,09;14.787.040.394,66;54.433.567.581,81;1.393.202.030,07;1.875.856.932,39;522.559.799,64;38.110.668.301,40;12.033.646.496,61;1.613.064.391,16;153.529.809.892,57;733.782.612,60;;;;;;;;;;;;;;
3 - DÍVIDA FUNDADA - Adm. Indireta;2008;95.363.213,47;0,00;9.630.964,56;0,00;0,00;590.741.407,74;222.587.458,81;13.989.074,18;76.804.970,00;0,00;0,00;0,00;113.989.017,83;186.339.019,45;0,00;779.134.584,96;0,00;562.392.216,09;82.078.550,16;6.687.257,10;222.941.301,44;55.620.386,19;0,00;0,00;0,00;1.148.236.583,32;0,00;;;;;;;;;;;;;;
3.1 -   Fundada Interna;2008;95.363.213,47;0,00;9.630.964,56;0,00;0,00;590.741.407,74;222.587.458,81;13.989.074,18;76.804.970,00;0,00;0,00;0,00;113.989.017,83;186.339.019,45;0,00;779.134.584,96;0,00;562.392.216,09;82.078.550,16;6.687.257,10;222.941.301,44;55.620.386,19;0,00;0,00;0,00;281.410.574,46;0,00;;;;;;;;;;;;;;
3.1.1 - Contratual;2008;95.363.213,47;0,00;9.630.964,56;0,00;0,00;590.741.407,74;222.587.458,81;13.989.074,18;76.804.970,00;0,00;0,00;0,00;113.989.017,83;186.339.019,45;0,00;779.134.584,96;0,00;562.392.216,09;82.078.550,16;6.687.257,10;222.941.301,44;55.620.386,19;0,00;0,00;0,00;281.410.574,46;0,00;;;;;;;;;;;;;;
3.1.1.1 - União;2008;95.363.213,47;0,00;9.630.964,56;0,00;0,00;590.261.407,74;222.587.458,81;13.989.074,18;76.804.970,00;0,00;0,00;0,00;113.989.017,83;186.339.019,45;0,00;779.134.584,96;0,00;562.392.216,09;62.453.328,89;6.687.257,10;175.968.302,60;55.620.386,19;0,00;0,00;0,00;281.410.574,46;0,00;;;;;;;;;;;;;;
3.1.1.1.1 - BIB;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;389.499,84;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.2 - BEA;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.3 - Clube de Paris;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.4 - DMLP;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68.406.364,35;0,00;0,00;0,00;0,00;58.781.878,06;0,00;28.986.334,16;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.5 - Lei 7.976/89;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.049.619,12;0,00;0,00;0,00;0,00;0,00;0,00;510.306,46;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.6 - Parc.  FGTS até 31/03/96;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.998.247,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.7 - Parc.  FGTS após 31/03/96;2008;857.153,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15.085.105,75;0,00;0,00;1.628.575,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.8 - Parc.  INSS até 01/12/92;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.9 - Parc.  INSS após 01/12/92;2008;17.542.302,29;0,00;0,00;0,00;0,00;0,00;105.847.506,41;3.547.726,11;55.806.723,00;0,00;0,00;0,00;0,00;0,00;0,00;6.568.020,17;0,00;0,00;3.306.000,00;0,00;0,00;0,00;0,00;0,00;0,00;585.207,86;0,00;;;;;;;;;;;;;;
3.1.1.1.10 - Lei 8.727/93;2008;76.499.635,51;0,00;0,00;0,00;0,00;590.261.407,74;0,00;2.584.084,86;0,00;0,00;0,00;0,00;0,00;116.883.035,98;0,00;644.988.571,17;0,00;562.392.216,09;0,00;0,00;146.082.162,14;53.096.820,79;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.11 - Lei 9.496/97;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.12 - CEF/VOTO 162;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.13 - CEF (outras);2008;0,00;0,00;9.630.964,56;0,00;0,00;0,00;115.725.472,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365.450,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.14 - Parcelamento - PIS/PASEP;2008;0,00;0,00;0,00;0,00;0,00;0,00;1.014.479,69;0,00;0,00;0,00;0,00;0,00;98.903.912,08;0,00;0,00;122.412.884,29;0,00;0,00;0,00;6.687.257,10;0,00;2.523.565,40;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.15 - B.Brasil;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.001.289,85;0,00;;;;;;;;;;;;;;
3.1.1.1.16 - BNDES;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;276.824.076,75;0,00;;;;;;;;;;;;;;
3.1.1.1.17 - Outros Bancos Federais;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.18 - Demais Dívidas com a União;2008;464.121,91;0,00;0,00;0,00;0,00;0,00;0,00;7.857.263,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.536.533,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2 - Outras Dívidas Contratuais;2008;0,00;0,00;0,00;0,00;0,00;480.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.625.221,27;0,00;46.972.998,84;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.1 - Bancos Estaduais;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.2 - Bancos Privados;2008;0,00;0,00;0,00;0,00;0,00;480.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.2.3 - Demais;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.625.221,27;0,00;46.972.998,84;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.2 - Mobiliária Interna;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2 - Fundada Externa;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;866.826.008,86;0,00;;;;;;;;;;;;;;
3.2.1 - Contratual;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;866.826.008,86;0,00;;;;;;;;;;;;;;
3.2.1.1 - Sem aval do Tesouro Nacional;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.2.1.2 - Com aval do TN até 30/09/91;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
